Plan Name,Advisor,Branch Location,Rep,Status,Status,Implementation Contact,2024/2025 Work,Case Notes,"Conversion, TPA Change of Record or Startup, Solo",Assets,Flow,Participants,Verfied Assets/Parts,5 bps Y or N,First Billed Date,Admin Assigned,Installation Payment Date,Installation payment,Provider,Document,Projected Installation Payment,Ongoing 5 bps,Total 1 Yr RK,Annual Admin (Base Fee),Audit,New Comparability,Participant Fee,Additional bps built in,Participant Fee Total,Total 1st Yr TPA,2nd Year TPA,Hard Dollar w/o Rev Share
Domino Equipment Company Inc.,Michael Waldman,IMA,3(16),Terminating,,Kim,2023,,Conversion,"$3,560,000 ",$0 ,56,SB 164,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$2,688 ","$5,138 ","$5,138 ","$5,138 "
Edge Construction Specialties,Samantha Jenkins,IMA,3(16),,,Kim,2023,,Conversion,"$2,900,000 ",$0 ,52,SB 90,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$2,496 ","$4,946 ","$4,946 ","$4,946 "
FJ Law,Allison Wright,IMA,3(16),,,Kim,2024,,Startup,$0 ,$0 ,6,Y,n,2024,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,$288 ,"$2,738 ","$2,738 ","$2,738 "
Glacier Construction,Samantha Jenkins,IMA,3(16),,,Kim,2023,,Conversion,"$1,800,000 ",$0 ,35,SB 106,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$1,680 ","$4,130 ","$4,130 ","$4,130 "
Griffin Construction LLC,Brian Heinke,IMA,3(16),,,Kim,2023,,Conversion,"$2,083,000 ",$0 ,32,SB 91,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$1,536 ","$3,986 ","$3,986 ","$3,986 "
Johnson Law Group,Brian Heinke,IMA,3(16),,,Kim,2023,,Startup,"$758,000 ",$0 ,24,SB 95,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$1,152 ","$3,602 ","$3,602 ","$3,602 "
"Lather, Inc.",Samantha Jenkins,IMA,3(16),,,Kim,2023,,Conversion,"$1,190,000 ",$0 ,27,SB 192,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$1,296 ","$3,746 ","$3,746 ","$3,746 "
Northwest HDD & Excavation (VZ Fiber),Samantha Jenkins,IMA,3(16),,,Kim,2025,,TPA Change,,,12,,y,1,Kim,,,Transamerica,,,$0 ,$0 ,2450,,1000,48,,$576 ,,,
PAX Sapiens,Brian Heinke,IMA,3(16),,,Kim,2025,,Startup,$0 ,"$50,000 ",16,,n,,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,$768 ,"$3,218 ","$3,218 ","$3,218 "
"Pita Boy, Inc.",Pitas in Paradise 401(k) Retirement Plan,IMA,3(16),,,Kim,2023,,Conversion,,,0,,,2023,Kim,,,T Rowe Price,,,$0 ,$0 ,2450,,,48,,$0 ,,,"$2,450 "
Pitas in Paradise - Split with above,Pitas in Paradise 401(k) Retirement Plan,IMA,3(16),,,Kim,2023,,Conversion,"$113,000 ",$0 ,10,SB 16,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,$480 ,"$2,930 ","$2,930 ","$2,930 "
Princeton TMX,Michael Waldman,IMA,3(16),,,Kim,2023,,Conversion,"$600,000 ",$0 ,26,SB 45,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$1,248 ","$3,698 ","$3,698 ","$3,698 "
Raceway US (Kindred Concepts US Inc),Brian Heinke,IMA,3(16),,,Kim,2023,,Conversion,"$11,000 ",$0 ,2,SB 11,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,$96 ,"$2,546 ","$2,546 ","$2,546 "
Railbelt Reliability,Samantha Jenkins,IMA,3(16),,,Kim,2025,,START Q3 2025,,,3,,n,,,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,$144 ,"$2,594 ","$2,594 ","$2,594 "
Rival Downhole Tools,Brian Heinke,IMA,3(16),Terminating,,Kim,2023,,Conversion,"$2,465,000 ",$0 ,61,SB 182,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$2,928 ","$5,378 ","$5,378 ","$5,378 "
"Stemper & Associates, Inc.",Samantha Jenkins,IMA,3(16),,,Kim,2023,,Conversion,"$806,000 ",$0 ,24,SB 30,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$1,152 ","$3,602 ","$3,602 ","$3,602 "
"Stormwater Pros, LLC",Samantha Jenkins,IMA,3(16),,,Kim,2023,,Conversion,"$511,000 ",$0 ,42,SB 89,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$2,016 ","$4,466 ","$4,466 ","$4,466 "
Surplus City LLC,Samantha Jenkins,IMA,3(16),,,Kim,2023,,Conversion,"$339,000 ",$0 ,20,SB 52,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,$960 ,"$3,410 ","$3,410 ","$3,410 "
TKFC LC DBA St. Louis City SC,Marie Haines,IMA,3(16),Terminating,,Kim,,,GONE,"$3,937,000 ",$0 ,132,SB 360,n,,Kim,,,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$6,336 ","$8,786 ","$8,786 ","$8,786 "
Trademark Plumbing,Brian Heinke,IMA,3(16),,,Kim,2023,,Conversion,"$2,600,000 ",$0 ,89,SB 239,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$4,272 ","$6,722 ","$6,722 ","$6,722 "
Viking Fence Company,Michael Waldman,IMA,3(16),,,Kim,2023,,Conversion,"$3,143,000 ",$0 ,90,SB 322,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$4,320 ","$6,770 ","$6,770 ","$6,770 "
Wolf Law PLLC,Michael Waldman,IMA,3(16),,,Kim,2023,,Conversion,"$134,000 ",$0 ,4,SB 11,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,$192 ,"$2,642 ","$2,642 ","$2,642 "
"Xssentials, LLC",Brian Heinke,IMA,3(16),,,Kim,2023,,Conversion,"$3,200,000 ",$0 ,50,SB 120,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$2,400 ","$4,850 ","$4,850 ","$4,850 "
Young Americans Education Foundation,Brian Heinke,IMA,3(16),,,Kim,2023,,Conversion,"$3,000,000 ",$0 ,34,SB 100+,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$1,632 ","$4,082 ","$4,082 ","$4,082 "
"Zimmerman Metals, Inc.",Samantha Jenkins,IMA,3(16),,,Kim,2023,,Conversion,"$4,300,000 ",$0 ,33,SB 120,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$1,584 ","$4,034 ","$4,034 ","$4,034 "
Cadillac Coffee,Nick McFarland,SW ERP,3(16),,,Kim,2024,Plan moving to Transamerica ,Conversion,"$6,500,000 ","$260,000 ",121,,y,,Kim,,Y,Transamerica,$0 ,"$13,520 ","$3,250 ","$16,770 ","$1,400 ","$1,000 ",,$10 ,,"$1,210 ","$17,755 ","$6,860 ","$3,610 "
D7 Endurance Building Systems,Dan Dillard,SW ERP,3(16),,,Kim,2023,3(16),TPA Change,"$671,000 ","$100,000 ",119,Y,y,2023,Kim,,n,Transamerica,$0 ,$0 ,$336 ,$336 ,"$3,400 ",,,$30 ,,"$3,570 ","$7,138 ","$7,306 ","$6,970 "
Gastro Arkansas,Sarah Salita,SW ERP,3(16)  Bundled,,,Kim,2025,3(16) Bundled ,,$0 ,"$100,000 ",8,,n,,Kim,,,Transamerica,"$1,400 ",$200 ,$0 ,"$1,600 ",,,,$25 ,,$200 ,"$1,800 ",$200 ,$200 
Alliance Fleet,,,3(16),,,Kim,2025,,,,,117,,,,,,,Voya,,,,,"$2,450 ",,,$48 ,,,,,
LM Manufacturing,,,3(16),,,Kim,2025,,,,,615,,,2026,,,,Principal,,,,,"$2,000 ","$1,000 ",,$52 ,,,,,
IT Partners,Dan Dillard,SW ERP,3(16),,,Kim,2024,3(16) Plan,Conversion,"$150,000 ","$50,000 ",36,Y,,,Kim,,n,Vestwell,"$1,300 ",$0 ,$0 ,"$1,300 ","$5,350 ",,,$60 ,,"$2,160 ","$8,810 ","$7,510 ","$7,510 "
Pelphrey Prestress Partners,Chassity Hood,SW ERP,3(16),,,Kim,2023,,Don't believe started,"$120,000 ","$50,000 ",2,Y,y,2023,,,n,American Funds,"$1,300 ",$0 ,$60 ,"$1,360 ","$1,400 ",,,$25 ,,$50 ,"$2,780 ","$1,510 ","$1,450 "
A.R. Daniel,TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2026,,START 1-1-2026,,,,,,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,$0 ,,,
Abstract Construction Co. ,TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,33,,,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,"$1,815 ",,,
AnchorBuilt Inc. ,TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,52,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,"$2,860 ",,,
"Associated Builders and Contractors, Inc.- Greater Houston Chapter",TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,21,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,"$1,155 ",,,
"Azteca Enterprises, Inc. ",TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,273,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,"$15,015 ",,,
Blackland Partners   (Used to be Provident),TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,Start Q2 2025,,,147,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,"$8,085 ",,,
"Bosworth Steel Erectors, LLC ",TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,26,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,"$1,430 ",,,
Bridgemar Construction - NEW TEXO,TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2025,,Start Q2 2025,,,12,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,$660 ,,,
Burleson Electric Inc. - out of business?,TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,0,,3,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,$165 ,,,
Burnco USA LLC ,TEXO - MEP - 3(16) - ,TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,467,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,"$25,685 ",,,
C.D. Henderson Construction Group,TEXO - MEP - 3(16) - ORPHAN,TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,0,,4,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,$220 ,,,
"Carrco Painting Contractors, Inc. ",TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,36,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,"$1,980 ",,,
"Drywall Interiors, LP ",TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,21,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,"$1,155 ",,,
"Ensley Benitez Law, PC ",TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,,,TPA Change,,,,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,$0 ,,,
"G.P. Cooper Industries, Inc. dba Cooper General Contractors",TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,23,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,"$1,265 ",,,
"Griffith Davison, P.C. ",TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,40,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,"$2,200 ",,,
Highland Builders ,TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,27,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,"$1,485 ",,,
"JMEG, LLC ",TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,424,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,"$23,320 ",,,
"JRB Engineering, LLC ",TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,,,TPA Change,,,,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,$0 ,,,
Keeland and Company,TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2025,y,0,$0 ,"$50,000 ",25,,y,,Crissy,,,Transamerica,$0 ,$0 ,$0 ,$0 ,,,,$55 ,,"$1,375 ","$1,375 ","$1,375 ","$1,375 "
KSC,TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2025,,Q3 2025,$0 ,"$50,000 ",,,y,,Crissy,,,Transamerica,$0 ,$100 ,$0 ,$100 ,,,,$55 ,,$0 ,$100 ,$0 ,$0 
KEVCO,TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2026,,,,,,,,,,,,,,,,,,,,,,$0 ,,,
"Lasco Acoustics and Drywall, Inc. ",TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,114,,y,,Crissy,,,Transamerica,,,,,,,,$55 ,,"$6,270 ",,,
"Legacy Contractors, LLC ",TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,6,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,$330 ,,,
"Manning Concrete, Inc. ",TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,8,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,$440 ,,,
"Mogul Insurance Agency, LLC ",TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,,,TPA Change,,,,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,$0 ,,,
"Momentum Mechanical, Inc. ",TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,31,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,"$1,705 ",,,
Mountain Mover Facades ,TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,8,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,$440 ,,,
"Novel Builders, LLC ",TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,23,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,"$1,265 ",,,
"PCL Insurance Agency, Inc. dba PCL Contract Bonding Agency ",TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,4,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,$220 ,,,
Pecos Construction LLC ,TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,22,,y,,Crissy,,,Transamerica,$0 ,$0 ,$0 ,$0 ,"$12,250 ",,,$55 ,,"$1,210 ","$9,846 ","$9,846 ","$12,296 "
Rothberg Shurtleff Dang PLLC ,TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,7,,y,,Crissy,,,Transamerica,,,,,,,,$55 ,,$385 ,,,
"Rudick Construction Group, Inc.",TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,47,,y,,Crissy,,,Transamerica,,,,,,,,$55 ,,"$2,585 ",,,
"Sedalco, Inc. - Confirmed",TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,67,,y,,Crissy,,,Transamerica,,,,,,,,$55 ,,"$3,685 ",,,
SMR Construction - Confirmed,TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,4,,y,,Crissy,,,Transamerica,,,,,,,,$55 ,,$220 ,,,
"Steele & Freeman, Inc. - Confirmed",TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,60,,y,,Crissy,,,Transamerica,,,,,,,,$55 ,,"$3,300 ",,,
"Talent Corporation, LLC - Confirmed",TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,28,,y,,Crissy,,,Transamerica,,,,,,,,$55 ,,"$1,540 ",,,
"Talley-Riggins Construction Group, LLC",TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,47,,y,,Crissy,,,Transamerica,,,,,,,,$55 ,,"$2,585 ",,,
Tarrant Acquisition,TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2025,,TPA Change,,,29,,y,,Crissy,,,Transamerica,,,,,,,,$55 ,,"$1,595 ",,,
"TEXO ABC-AGC, Inc. - ",TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,33,,y,,Crissy,,,Transamerica,,,,,3000,,,$55 ,,"$1,815 ",,,
Woodhaus Inc. ,TEXO - MEP - 3(16),TEXO - MEP - 3(16),3(16),,,Kim,2024,,TPA Change,,,26,,y,,Crissy,,,Transamerica,,,,,,,,$55 ,,"$1,430 ",,,
"Everest Group, Inc.",TEXO - MEP - 3(16),TEXO - MEP - 3(16) - ORPHAN,3(16),,,Kim,,,TPA Change,,,,,y,,Crissy,,,Transamerica,,,$0 ,$0 ,,,,$55 ,,$0 ,,,
"Prism Electric, Inc. ",TEXO - MEP - 3(16),,3(16),,,Kim,,,Gone as of 3rd qtr 2025,,,,,y,,Crissy,,,Transamerica,,,,,,,,$55 ,,$0 ,,,
